method,total_solves,avg_total_moves,num_steps,avg_moves_per_step,num_algs,score
mutation_44aa02fa,10,51.6,8,6.45,33,0.01938
mutation_bc8e9a94,10,49.5,8,6.19,22,0.020202
mutation_e178cddf,10,51.0,7,7.29,6,0.019608
mutation_f30613c9,10,54.6,8,6.83,16,0.018315
mutation_6c6f5540,10,56.5,8,7.06,51,0.017699
mutation_72906f56,10,62.1,9,6.9,3,0.016103
mutation_a7337557,10,55.0,8,6.88,24,0.018182
mutation_57780eff,10,54.6,9,6.07,15,0.018315
mutation_15b81171,10,59.5,7,8.5,2,0.016807
mutation_ca2ba400,10,47.6,6,7.93,10,0.021008
mutation_6da610ba,10,46.5,7,6.64,7,0.021505
mutation_179aa5ac,10,62.7,8,7.84,15,0.015949
mutation_f661d838,10,42.6,7,6.09,3,0.023474
mutation_2c997a44,10,60.2,8,7.53,22,0.016611
mutation_41c05843,10,57.6,8,7.2,0,0.017361
mutation_4e985de8,10,56.4,8,7.05,23,0.01773
mutation_0c651e0b,10,56.6,9,6.29,11,0.017668
mutation_7d2368c5,10,61.5,7,8.79,12,0.01626
mutation_c306ed36,10,58.8,9,6.53,11,0.017007
mutation_ca8ab85e,10,59.5,9,6.61,12,0.016807
mutation_cf5b1fb7,10,50.3,8,6.29,20,0.019881
mutation_d6ac6554,10,53.8,8,6.72,18,0.018587
mutation_ca03df11,10,61.6,9,6.84,19,0.016234
mutation_d754192d,10,55.7,8,6.96,18,0.017953
mutation_d688a47a,10,56.9,8,7.11,19,0.017575
mutation_b21a224d,10,61.1,9,6.79,17,0.016367
mutation_fe051c3e,10,51.2,7,7.31,15,0.019531
mutation_c0c0c2fc,10,50.7,8,6.34,14,0.019724
mutation_2c4fd4d0,10,54.2,8,6.78,14,0.01845
mutation_986204d9,10,50.0,7,7.14,10,0.02
mutation_6da07938,10,64.3,9,7.14,16,0.015552
mutation_c59a56bd,10,46.5,8,5.81,0,0.021505
mutation_145ee96c,10,54.9,8,6.86,12,0.018215
mutation_6b200dd7,10,59.0,9,6.56,13,0.016949
mutation_3dacae6b,10,7.4,8,0.93,0,0.135135
mutation_d60355cb,10,51.2,7,7.31,15,0.019531
mutation_e8f4f37d,10,43.9,8,5.49,13,0.022779
mutation_b2213f7c,10,59.2,9,6.58,13,0.016892
mutation_7a19601e,10,58.0,8,7.25,18,0.017241
mutation_abaa9cba,10,68.3,9,7.59,19,0.014641
mutation_9406cefe,10,50.9,8,6.36,10,0.019646
mutation_db2cb839,10,57.0,8,7.12,12,0.017544
mutation_0e4b2b2b,10,46.4,7,6.63,20,0.021552
mutation_6ad34dd2,10,58.9,9,6.54,15,0.016978
mutation_51b59df7,10,49.9,8,6.24,20,0.02004
mutation_c94dc3f9,10,48.7,7,6.96,19,0.020534
mutation_0cace1ff,10,52.0,7,7.43,16,0.019231
mutation_ce143798,10,41.6,8,5.2,5,0.024038
mutation_23d493ed,10,64.9,9,7.21,12,0.015408
mutation_e5fbe2a2,10,53.0,8,6.62,4,0.018868
mutation_c7958bc5,10,55.2,8,6.9,20,0.018116
mutation_69c618a2,10,49.5,7,7.07,2,0.020202
mutation_430aa2eb,10,49.3,8,6.16,19,0.020284
mutation_185b2f20,10,50.3,8,6.29,18,0.019881
mutation_6756064a,10,48.4,7,6.91,20,0.020661
mutation_580e5473,10,49.0,7,7.0,12,0.020408
mutation_5ab1c4af,10,48.8,7,6.97,20,0.020492
mutation_2e9ddc22,10,52.8,8,6.6,13,0.018939
mutation_a4b019e7,10,37.7,7,5.39,2,0.026525
mutation_f92540bb,10,54.6,8,6.83,16,0.018315
mutation_063979bc,10,55.5,8,6.94,15,0.018018
mutation_9191c6dd,10,64.3,9,7.14,16,0.015552
mutation_4dae8981,10,48.5,8,6.06,6,0.020619
mutation_c738aafb,10,51.2,7,7.31,15,0.019531
mutation_1ae5e56b,10,61.7,8,7.71,10,0.016207
mutation_844fffb0,10,61.3,7,8.76,7,0.016313
mutation_76fe1306,10,50.1,8,6.26,8,0.01996
mutation_342341dc,10,59.4,8,7.42,27,0.016835
mutation_63a9d079,10,52.8,8,6.6,13,0.018939
mutation_101b7599,10,61.4,8,7.67,10,0.016287
mutation_eed680cc,10,50.3,7,7.19,14,0.019881
mutation_fb672b0c,10,50.6,7,7.23,17,0.019763
mutation_10ce3a0d,10,50.3,7,7.19,14,0.019881
mutation_b8932500,10,59.0,7,8.43,13,0.016949
mutation_556b5086,10,62.7,9,6.97,19,0.015949
mutation_7cf4ed6f,10,59.6,9,6.62,8,0.016779
mutation_b07aa926,10,34.8,8,4.35,13,0.028736
mutation_5e91919c,10,56.7,8,7.09,22,0.017637
mutation_1036377f,10,52.4,7,7.49,6,0.019084
mutation_69b7b961,10,9.6,8,1.2,0,0.104167
mutation_8996caae,10,55.9,7,7.99,14,0.017889
mutation_c5110944,10,62.8,9,6.98,15,0.015924
mutation_8aaa66d7,10,44.8,8,5.6,0,0.022321
mutation_a41a1090,10,44.9,6,7.48,10,0.022272
mutation_7fe9e64b,10,50.9,8,6.36,14,0.019646
mutation_754f758a,10,58.2,9,6.47,12,0.017182
mutation_5d6e095a,10,50.8,7,7.26,3,0.019685
mutation_3309a5b4,10,56.3,8,7.04,14,0.017762
mutation_1c838dd3,10,58.2,8,7.28,18,0.017182
mutation_52fdc875,10,50.6,7,7.23,17,0.019763
mutation_d6b14ffa,10,56.8,8,7.1,10,0.017606
mutation_0ded9c08,10,52.4,7,7.49,6,0.019084
mutation_ea73d72a,10,55.9,7,7.99,14,0.017889
mutation_1a65a727,10,49.8,8,6.22,12,0.02008
mutation_6e3aaeb3,10,50.4,7,7.2,20,0.019841
mutation_714fb2c2,10,47.2,8,5.9,11,0.021186
mutation_36655968,10,52.2,8,6.53,18,0.019157
mutation_3a0a4412,10,50.5,7,7.21,17,0.019802
mutation_4ac0a588,10,49.2,7,7.03,15,0.020325
mutation_790ed0ce,10,59.7,8,7.46,13,0.01675
CFOP,600,51.69,7,7.38,0,0.019346
mutation_af85b6f7,10,56.7,9,6.3,10,0.017637
mutation_02b55dce,10,49.9,8,6.24,15,0.02004
mutation_eaaa6cdc,10,46.8,7,6.69,9,0.021368
mutation_be1672cd,10,56.1,8,7.01,15,0.017825
mutation_db32294b,10,59.4,8,7.42,15,0.016835
mutation_eef17892,10,57.6,8,7.2,16,0.017361
mutation_aa110227,10,55.6,8,6.95,4,0.017986
mutation_95fc44aa,10,51.9,8,6.49,16,0.019268
mutation_a7989cc6,10,52.6,8,6.58,16,0.019011
mutation_1572ae89,10,57.5,7,8.21,17,0.017391
mutation_a6ed66a3,10,47.1,7,6.73,0,0.021231
mutation_387a5072,10,56.1,9,6.23,15,0.017825
mutation_ebb4bfc4,10,61.7,8,7.71,10,0.016207
mutation_6e38d2de,10,49.6,8,6.2,20,0.020161
mutation_66b9f323,10,50.5,8,6.31,11,0.019802
mutation_380c3d64,10,52.5,7,7.5,15,0.019048
mutation_48cb5de4,10,56.9,8,7.11,23,0.017575
mutation_f537e88f,10,58.2,8,7.28,13,0.017182
mutation_7dc8511d,10,59.7,8,7.46,13,0.01675
mutation_dc72c90f,10,60.2,7,8.6,15,0.016611
mutation_02077995,10,51.8,8,6.47,6,0.019305
mutation_e7df1a72,10,46.1,8,5.76,8,0.021692
mutation_0480d5ab,10,7.4,8,0.93,0,0.135135
mutation_404ac80c,10,50.9,7,7.27,16,0.019646
mutation_d7ccace5,10,57.6,8,7.2,16,0.017361
