method_name,num_steps,num_groups,num_removes,total_constraints,avg_constraints_per_step,max_constraints_per_step,num_cache_alg_steps,num_free_layer_steps,symmetry_depth,num_symmetry_orientations,num_edge_constraints,num_corner_constraints,num_orientation_constraints,constraint_type_diversity,score
ZZ,7,1,1,24,3.43,8,2,2,1,0,14,8,2,3,0.019612
CFOP,7,1,0,22,3.14,8,2,2,1,0,12,8,2,3,0.019346
Roux,6,1,2,16,2.67,6,1,1,1,0,7,4,2,3,0.023613
BEGINNERS,13,2,2,16,1.23,4,0,0,1,0,8,4,2,3,0.013074
PETRUS,7,1,0,23,3.29,8,2,2,1,0,13,8,2,3,0.019631
APB,6,0,1,23,3.83,8,3,3,1,4,12,8,3,3,0.021142
mutation_44aa02fa,8,1,0,19,2.38,4,3,3,1,0,8,9,2,3,0.01938
mutation_bc8e9a94,8,1,0,16,2.0,3,3,3,1,0,5,9,2,3,0.020202
mutation_e178cddf,8,1,0,19,2.38,5,2,2,1,0,9,6,4,3,0.019608
mutation_f30613c9,8,1,0,19,2.38,4,3,3,1,0,11,6,2,3,0.018315
mutation_6c6f5540,8,1,0,23,2.88,5,3,3,1,0,12,7,4,3,0.017699
mutation_72906f56,9,1,0,23,2.56,4,4,4,1,0,13,8,2,3,0.016103
mutation_a7337557,8,1,0,21,2.62,5,3,3,1,0,12,7,2,3,0.018182
mutation_57780eff,9,1,0,21,2.33,4,4,4,1,0,12,7,2,3,0.018315
mutation_15b81171,7,1,0,25,3.57,5,2,2,1,0,10,6,9,3,0.016807
mutation_ca2ba400,6,1,0,18,3.0,5,1,1,1,0,11,5,2,3,0.021008
mutation_6da610ba,7,1,0,19,2.71,5,2,2,1,0,10,6,3,3,0.021505
mutation_179aa5ac,8,1,0,20,2.5,5,3,3,1,0,10,8,2,3,0.015949
mutation_f661d838,7,1,0,19,2.71,4,1,1,1,0,10,5,4,3,0.023474
mutation_2c997a44,8,1,0,20,2.5,5,3,3,1,0,12,6,2,3,0.016611
mutation_41c05843,8,1,0,19,2.38,4,2,2,1,0,10,5,4,3,0.017361
mutation_4e985de8,8,1,0,23,2.88,5,3,3,1,0,12,7,4,3,0.01773
mutation_0c651e0b,9,1,0,20,2.22,4,4,4,1,0,11,7,2,3,0.017668
mutation_7d2368c5,7,1,0,22,3.14,5,2,2,1,0,11,9,2,3,0.01626
mutation_c306ed36,9,1,0,19,2.11,4,4,4,1,0,9,8,2,3,0.017007
mutation_ca8ab85e,9,1,0,18,2.0,3,4,4,1,0,9,7,2,3,0.016807
mutation_cf5b1fb7,8,1,0,19,2.38,5,3,3,1,0,10,7,2,3,0.019881
mutation_d6ac6554,8,1,0,20,2.5,5,3,3,1,0,11,7,2,3,0.018587
mutation_ca03df11,9,1,0,19,2.11,4,4,4,1,0,9,8,2,3,0.016234
mutation_d754192d,8,1,0,22,2.75,5,3,3,1,0,11,7,4,3,0.017953
mutation_d688a47a,8,1,0,23,2.88,5,3,3,1,0,13,8,2,3,0.017575
mutation_b21a224d,9,1,0,23,2.56,5,4,4,1,0,11,7,5,3,0.016367
mutation_fe051c3e,7,1,0,21,3.0,5,2,2,1,0,12,7,2,3,0.019531
mutation_c0c0c2fc,8,1,0,15,1.88,2,3,3,1,0,8,5,2,3,0.019724
mutation_2c4fd4d0,8,1,0,19,2.38,5,3,3,1,0,11,6,2,3,0.01845
mutation_986204d9,7,1,0,18,2.57,4,2,2,1,0,8,8,2,3,0.02
mutation_6da07938,9,1,0,19,2.11,4,4,4,1,0,10,7,2,3,0.015552
mutation_c59a56bd,8,1,0,19,2.38,4,2,2,1,0,10,5,4,3,0.021505
mutation_145ee96c,8,1,0,20,2.5,4,3,3,1,0,9,9,2,3,0.018215
mutation_6b200dd7,9,1,0,21,2.33,4,4,4,1,0,12,7,2,3,0.016949
mutation_3dacae6b,8,1,0,23,2.88,5,3,3,1,0,12,7,3,3,0.135135
mutation_d60355cb,7,1,0,21,3.0,5,2,2,1,0,12,7,2,3,0.019531
mutation_e8f4f37d,8,1,0,22,2.75,5,3,3,1,0,12,7,3,3,0.022779
mutation_b2213f7c,9,1,0,23,2.56,4,4,4,1,0,13,8,2,3,0.016892
mutation_7a19601e,8,1,0,23,2.88,5,3,3,1,0,12,9,2,3,0.017241
mutation_abaa9cba,9,1,0,21,2.33,4,4,4,1,0,12,7,2,3,0.014641
mutation_9406cefe,8,1,0,17,2.12,4,3,3,1,0,8,7,2,3,0.019646
mutation_db2cb839,8,1,0,19,2.38,5,3,3,1,0,11,6,2,3,0.017544
mutation_0e4b2b2b,7,1,0,21,3.0,5,2,2,1,0,11,8,2,3,0.021552
mutation_6ad34dd2,9,1,0,16,1.78,2,4,4,1,0,9,5,2,3,0.016978
mutation_51b59df7,8,1,0,21,2.62,4,3,3,1,0,12,7,2,3,0.02004
mutation_c94dc3f9,7,1,0,21,3.0,5,2,2,1,0,11,8,2,3,0.020534
mutation_0cace1ff,7,1,0,22,3.14,5,2,2,1,0,11,7,4,3,0.019231
mutation_ce143798,8,1,0,16,2.0,4,3,3,1,0,9,5,2,3,0.024038
mutation_23d493ed,9,1,0,21,2.33,4,4,4,1,0,12,7,2,3,0.015408
mutation_e5fbe2a2,8,1,0,18,2.25,5,3,3,1,0,10,6,2,3,0.018868
mutation_c7958bc5,8,1,0,21,2.62,5,3,3,1,0,12,7,2,3,0.018116
mutation_69c618a2,7,1,0,19,2.71,4,1,1,1,0,10,5,4,3,0.020202
mutation_430aa2eb,8,1,0,18,2.25,4,3,3,1,0,9,7,2,3,0.020284
mutation_185b2f20,8,1,0,21,2.62,5,3,3,1,0,12,7,2,3,0.019881
mutation_6756064a,7,1,0,19,2.71,5,2,2,1,0,10,7,2,3,0.020661
mutation_580e5473,7,1,0,18,2.57,5,2,2,1,0,11,5,2,3,0.020408
mutation_5ab1c4af,7,1,0,22,3.14,5,2,2,1,0,13,7,2,3,0.020492
mutation_2e9ddc22,8,1,0,21,2.62,4,3,3,1,0,12,7,2,3,0.018939
mutation_a4b019e7,7,1,0,15,2.14,5,2,2,1,0,9,5,1,3,0.026525
mutation_f92540bb,8,1,0,20,2.5,5,3,3,1,0,10,8,2,3,0.018315
mutation_063979bc,8,1,0,23,2.88,5,3,3,1,0,13,8,2,3,0.018018
mutation_9191c6dd,9,1,0,22,2.44,5,4,4,1,0,13,7,2,3,0.015552
mutation_4dae8981,8,1,0,23,2.88,4,3,3,1,0,12,7,4,3,0.020619
mutation_c738aafb,7,1,0,21,3.0,5,2,2,1,0,12,7,2,3,0.019531
mutation_1ae5e56b,8,1,0,23,2.88,5,3,3,1,0,13,8,2,3,0.016207
mutation_844fffb0,7,1,0,25,3.57,5,2,2,1,0,10,6,9,3,0.016313
mutation_76fe1306,8,1,0,17,2.12,3,3,3,1,0,6,9,2,3,0.01996
mutation_342341dc,8,1,0,21,2.62,5,3,3,1,0,12,7,2,3,0.016835
mutation_63a9d079,8,1,0,21,2.62,4,3,3,1,0,12,7,2,3,0.018939
mutation_101b7599,8,1,0,23,2.88,5,3,3,1,0,12,7,4,3,0.016287
mutation_eed680cc,7,1,0,18,2.57,4,2,2,1,0,10,6,2,3,0.019881
mutation_fb672b0c,7,1,0,23,3.29,5,2,2,1,0,12,7,4,3,0.019763
mutation_10ce3a0d,7,1,0,18,2.57,4,2,2,1,0,10,6,2,3,0.019881
mutation_b8932500,7,1,0,20,2.86,5,2,2,1,0,10,7,3,3,0.016949
